Molecule ChEMBL ID,Smiles,Standard Value,AlogP,Molecular Weight
CHEMBL2022236,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,100000.0,-4.03,818.68
CHEMBL3677668,C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)N1CCC[C@H]1C(=O)O)C(=O)O,450.0,3.63,424.5
CHEMBL3695453,O=C(O)[C@H](CCc1ccccc1)N[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)NC1=NNNN1,0.2,2.59,506.99
CHEMBL3695454,CC[C@H](N[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)NC1=NNNN1)C(=O)O,0.2,1.37,430.9
CHEMBL439508,CCCC(CC1(C(=O)N[C@H]2CC[C@@H](C(N)=O)CC2)CCCC1)C(=O)O,150.0,2.6,352.48
CHEMBL2022225,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,30000.0,-4.64,692.78
CHEMBL16779,O=C(O)CNC(=O)C(CC(=O)NO)Cc1ccccc1,1.4,-0.06,280.28
CHEMBL39384,O=P(O)(O)CN[C@@H](CC#Cc1ccccc1)c1nn[nH]n1,170.0,0.41,307.25
CHEMBL194651,CCCc1cnc(N2C[C@H](S)CC2CNCc2cc(F)ccc2F)nc1,100000.0,3.37,378.49
CHEMBL487941,O=C(Cc1ccc2nccnc2c1)N1CCCC1,50000.0,1.79,241.29
CHEMBL3677662,Cc1nc2ccc(CCCC(=O)N[C@H](Cc3ccc(-c4ccccc4)cc3)C[C@@H](C)C(=O)O)cc2s1,250.0,6.43,500.66
CHEMBL3677667,C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)c1cc(=O)cc(C(=O)O)o1)C(=O)O,350.0,3.46,449.46
CHEMBL372307,O=C(N[C@H]1CCCSC2CCC[C@@H](C(=O)O)N21)[C@@H](S)Cc1ccccc1,8.0,2.76,394.56
CHEMBL433702,O=C1N[C@H](C(=O)O)Cc2ccccc2CCCCCCC[C@@H]1CS,900.0,3.24,349.5
CHEMBL211596,CCCC(CC1(C(=O)Nc2ccccn2)CCCC1)C(=O)O,1500.0,3.47,304.39
CHEMBL376425,CCCC(CC1(C(=O)NC2Cc3ccccc3C2)CCCC1)C(=O)O,313.0,3.72,343.47
CHEMBL211500,CCC[C@@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,292.0,3.49,339.46
CHEMBL212526,CCC[C@H](CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,11.0,3.08,373.49
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,26.0,3.49,339.46
CHEMBL1778536,COCC[C@H](NC1(C(=O)N[C@@H](Cc2nc(-c3ccccc3)no2)C(=O)O)CCCC1)C(=O)O,1.9,1.24,460.49
CHEMBL284818,O=C(O)C(COc1ccccc1)C[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)NCc1nn[nH]n1,19.0,3.51,485.54
CHEMBL2022227,C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,12000.0,-3.88,607.67
CHEMBL51438,O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CCc2ccccc21,1.7,2.71,426.54
CHEMBL2022232,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1Br)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,30000.0,-3.87,771.68
CHEMBL35995,NCCc1c(NC(=O)[C@H](CC#Cc2ccc(F)cc2F)NCP(=O)(O)O)[nH]c2ccccc12,9700.0,2.42,476.42
CHEMBL36809,O=C(NCCc1cccc2ccccc12)[C@H](CC#Cc1ccccc1F)NCP(=O)(O)O,10700.0,3.17,454.44
CHEMBL2029396,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(N)=O)C(=O)O,130000.0,-5.03,678.75
CHEMBL2029399,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CS)C(=O)O,7000.0,-5.22,795.92
CHEMBL27868,NC(=O)CCC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,15000.0,3.45,609.62
CHEMBL2029393,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O,7000.0,-2.13,408.46
CHEMBL3677672,C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)c1nnn(Cc2ccccc2)n1)C(=O)OCc1ccccc1,14.0,5.5,559.67
CHEMBL2112402,O=C(N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3)C(CS)Cc1ccc(-c2ccccc2)cc1,12.0,3.92,500.62
CHEMBL2204326,O=C1N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)O)CCCCCC[C@H]1CS,0.8,0.42,358.46
CHEMBL34369,O=C(O)Cn1ccnc1NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)CC(COc1ccccc1)C(=O)O,763.0,4.6,527.58
CHEMBL11297,CC(NC(=O)C(CS)C(C)c1ccc(F)cc1)C(=O)O,2.0,2.06,299.37
CHEMBL2024271,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)CN(Cc1ccccc1)C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,100000.0,-4.33,692.78
CHEMBL2022239,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)C[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)c1ccccc1)C(=O)O,100000.0,-4.12,692.78
CHEMBL2022233,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,100000.0,-4.5,710.77
CHEMBL315669,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1c[nH]cn1)NCP(=O)(O)O,1000.0,1.52,472.44
CHEMBL51389,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)COc2ccccc21,0.6,1.77,414.48
