BindingDB MonomerID,Ligand SMILES,IC50 (nM)
459310,COc1ccccc1C(=O)Nc1cc(n[nH]1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459312,Cn1nc(cc1-c1ccccc1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459314,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(-c2ccccc2)n(CCC(O)=O)n1)C(O)=O,
459315,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1ccco1)C(O)=O,
459316,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1ccc2ccccc2c1)C(O)=O,
459318,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1ccc(Cl)cc1)C(O)=O,
459320,NC(=O)C1CCN(C1)C(=O)c1cc([nH]n1)C(=O)N[C@@H](C[C@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459324,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(n[nH]1)C(=O)N1CCOCC1)C(O)=O,
459326,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(n[nH]1)C(=O)NCC(O)=O)C(O)=O,
459328,NC(=O)c1cc([nH]n1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459335,OCCNC(=O)c1cc([nH]n1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459336,CN(C)CCNC(=O)c1cc([nH]n1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459219,COCCN(C)C(=O)c1cc([nH]n1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459227,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnn[nH]1)C(O)=O,
459232,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1n[nH]c(O)n1)C(O)=O,
459233,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nnc([nH]1)-c1ccccn1)C(O)=O,
459235,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nc(Cl)n[nH]1)C(O)=O,
459236,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccc2n(Cc3cccc(c3)C(O)=O)nnc2c1)C(O)=O,
459238,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccc2[nH]nnc2c1)C(O)=O,
459239,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(F)c2[nH]nnc2c1)C(O)=O,
459240,Cc1cc(cc2[nH]nnc12)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459241,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccc2[nH]nnc2c1Cl)C(O)=O,
459244,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnc2nn[nH]c2c1)C(O)=O,
459247,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccc(o1)C(O)=O)C(O)=O,
459248,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccc(s1)C(O)=O)C(O)=O,
