BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50039513,CSC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O,8.823908740944319
50024099,CC(C)C[C@@H](C(O)=O)C(=O)N[C@H](CS)Cc1ccccc1,8.823908740944319
130365,OC(=O)CCC(=O)N[C@@H](CC(O)=O)Cc1ccc(cc1)-c1cccc(Cl)c1,8.823908740944319
50509652,Cc1cccc(c1)-c1ccc(C[C@H](CC(O)=O)NC(=O)CCC(O)=O)cc1,8.795880017344075
50282859,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1C[C@H](C[C@H]1C(O)=O)Sc1ccccc1,8.795880017344075
50051785,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)c1ccccc1,8.795880017344075
50051791,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)c1cccc(O)c1,8.795880017344075
50024096,OC(=O)CNC(=O)[C@H](CS)Cc1ccccc1,8.795880017344075
50020153,CC(C(O)=O)C(=O)NC(CC(=O)NO)Cc1ccccc1,8.795880017344075
50018211,CC(CC(O)=O)NC(=O)C(CC(=O)NO)Cc1ccccc1,8.769551078621726
50403257,OC(=O)CCN1c2ccccc2CC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O,8.769551078621726
50008590,[O-]S(=O)(=O)c1ccc(NC(=O)C(CS)Cc2ccccc2)cc1,8.769551078621726
50051794,Nc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2)C(O)=O)cc1,8.744727494896694
50048304,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(O)=O,8.744727494896694
50018216,ONC(=O)CC(Cc1ccccc1)C(=O)NCC(Cc1ccccc1)C(O)=O,8.744727494896694
50085460,ON(C[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2ccccc2[C@H]2CCC[C@H](N2C1=O)C(O)=O)C=O,8.744727494896694
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1,8.721246399047171
50344197,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1nc(no1)-c1ccccc1)C(O)=O)C(O)=O,8.721246399047171
50373665,CC(C)CN(CP(O)(O)=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(O)=O,8.698970004336019
50509666,C[C@@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)CCC(O)=O)C(O)=O,8.698970004336019
50282855,CCC[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(O)=O,8.698970004336019
50283642,CC[C@@H](C)[C@H](NCP(O)(O)=O)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,8.698970004336019
50020158,CC(NC(=O)C(CC(=O)NO)Cc1ccccc1)C(O)=O,8.698970004336019
50042835,OC(=O)[C@@H]1CCCN1C(=O)C1CCCCCCC(CS)C(=O)N1,8.698970004336019
50040401,OC(=O)[C@@H](NC(=O)C(Cc1ccc(cc1)-c1ccccc1)NCP(O)(O)=O)c1ccccc1,8.698970004336019
50048303,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(O)=O,8.698970004336019
50041058,CC(NC(=O)C(CS)C(C)c1ccc2OCOc2c1)C(O)=O,8.698970004336019
50041067,CC(NC(=O)C(CS)C(C)c1ccc(F)cc1)C(O)=O,8.698970004336019
50041069,OC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CS)Cc1ccccc1,8.698970004336019
50039541,Cc1ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc2cccc3ccccc23)C(O)=O)cc1,8.698970004336019
50039499,COc1ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)C(O)=O)cc1,8.698970004336019
50035235,CC(C)C[C@H](C(=O)NO)C(=O)N[C@@H](C)C(=O)NCC(N)=O,8.698970004336019
50035249,CC(C)CC(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,8.698970004336019
50035239,CC(C)C(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,8.698970004336019
85431,OC(=O)c1cc(NC(=O)C(CS)Cc2ccccc2)cs1,8.698970004336019
85433,OC(=O)c1cc(NC(=O)C(CS)Cc2ccccc2)c[nH]1,8.698970004336019
85434,OC(=O)c1cc(NC(=O)C(CS)Cc2ccc(Cl)cc2)c[nH]1,8.698970004336019
50017736,OC(=O)CCC(=O)NC(C[C@@H](Cc1ccccc1)C(O)=O)Cc1ccccc1,8.698970004336019
50407297,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(O)=O,8.698970004336019
50048314,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,8.67778070526608
50403261,OC(=O)CN1c2ccccc2CC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O,8.67778070526608
